Station/Location;Date;tre200s0;rre150z0;sre000z0;gre000z0;ure200s0;tde200s0;dkl010z0;fu3010z0;fu3010z1;prestas0;pp0qffs0;pp0qnhs0;ppz850s0;ppz700s0;dv1towz0;fu3towz0;fu3towz1;ta1tows0;uretows0;tdetows0
BEH;202312092220;-5.50;0.00;0.00;0.00;95.90;-6.00;92.00;19.10;24.10;765.40;-;1008.10;1428.90;-;-;-;-;-;-;-
PAY;202312092220;7.00;0.50;0.00;0.00;87.60;5.10;259.00;17.60;35.60;955.30;1013.60;1012.80;-;-;-;-;-;-;-;-
PIL;202312092220;-2.30;0.90;0.00;0.00;100.00;-2.30;236.00;38.90;92.20;780.20;-;1007.60;1416.80;-;-;-;-;-;-;-
PIO;202312092220;0.20;0.40;0.00;1.00;98.50;0.00;0.00;0.00;0.00;897.80;-;1011.10;1427.40;-;-;-;-;-;-;-
COV;202312092220;-7.20;0.00;0.00;0.00;93.30;-8.10;256.00;36.40;56.20;669.70;-;1006.50;-;2955.70;-;-;-;-;-;-
PMA;202312092220;-2.90;0.00;0.00;0.00;88.60;-4.50;292.00;24.50;41.80;725.80;-;1006.40;-;2955.50;-;-;-;-;-;-
PLF;202312092220;3.00;0.30;0.00;3.00;96.20;2.50;271.00;38.50;67.70;891.90;-;1010.90;1432.00;-;-;-;-;-;-;-
ROB;202312092220;-0.50;0.10;0.00;1.00;100.00;-0.50;0.00;0.00;1.10;888.20;-;1011.10;1429.70;-;-;-;-;-;-;-
PUY;202312092220;9.60;0.60;0.00;3.00;83.00;6.90;283.00;26.60;56.20;960.00;1014.00;1013.70;-;-;-;-;-;-;-;-
QUI;202312092220;-;-;-;-;-;-;9.00;3.60;7.60;961.40;-;1010.80;-;-;-;-;-;-;-;-
ROE;202312092220;-3.40;0.80;0.00;6.00;96.80;-3.80;8.00;1.40;2.90;801.40;-;1008.60;1427.60;-;-;-;-;-;-;-
RUE;202312092220;7.70;0.00;0.00;1.00;78.80;4.30;258.00;19.40;37.10;937.30;-;1008.50;1411.50;-;-;-;-;-;-;-
SBE;202312092220;-1.60;0.30;0.00;0.00;96.30;-2.10;295.00;1.10;5.80;827.90;-;1009.50;1429.60;-;-;-;-;-;-;-
HAI;202312092220;6.10;0.00;0.00;0.00;99.30;6.00;246.00;35.60;51.50;923.00;-;1006.00;1389.70;-;-;-;-;-;-;-
SAM;202312092220;-0.60;0.00;0.00;0.00;82.30;-3.20;188.00;13.00;22.30;819.70;-;1008.20;1418.50;-;-;-;-;-;-;-
SAG;202312092220;5.10;0.10;-;-;93.80;4.20;179.00;20.20;40.30;918.70;-;1009.90;1421.10;-;-;-;-;-;-;-
SHA;202312092220;8.00;0.00;0.00;0.00;84.90;5.60;261.00;30.60;46.40;955.70;1007.70;1007.20;-;-;-;-;-;-;-;-
SRS;202312092220;0.80;0.50;-;-;99.20;0.70;154.00;10.40;25.20;-;-;-;-;-;-;-;-;-;-;-
SCM;202312092220;-;-;-;-;-;-;108.00;6.10;16.20;961.90;-;1009.90;-;-;-;-;-;-;-;-
SPF;202312092220;5.00;0.70;-;0.00;95.60;4.40;199.00;26.30;38.90;925.10;-;1011.40;1431.00;-;-;-;-;-;-;-
SCU;202312092220;-0.60;0.00;0.00;1.00;100.00;-0.60;-;-;-;861.20;-;1007.80;1409.90;-;-;-;-;-;-;-
SIA;202312092220;-1.70;0.00;0.00;0.00;88.90;-3.30;228.00;15.80;26.30;810.60;-;1008.70;1425.00;-;-;-;-;-;-;-
SIM;202312092220;-1.40;0.60;0.00;1.00;99.20;-1.50;144.00;7.60;15.80;844.80;-;1009.10;1424.10;-;-;-;-;-;-;-
SIO;202312092220;1.30;0.10;0.00;0.00;94.90;0.60;216.00;3.60;8.60;956.00;1014.70;1012.70;-;-;-;-;-;-;-;-
PRE;202312092220;-;-;-;-;-;-;280.00;40.30;69.80;-;-;-;-;-;-;-;-;-;-;-
STC;202312092220;-;-;0.00;0.00;-;-;-;-;-;-;-;-;-;-;273.00;50.40;65.90;7.60;84.40;5.10
STG;202312092220;5.40;0.30;0.00;0.00;85.60;3.20;261.00;26.60;49.30;919.00;-;1008.60;1410.60;-;-;-;-;-;-;-
SMM;202312092220;-1.90;0.00;0.00;1.00;99.20;-2.00;310.00;0.70;2.90;853.50;-;1008.80;1419.80;-;-;-;-;-;-;-
SBO;202312092220;3.90;0.00;0.00;0.00;95.30;3.20;69.00;3.60;5.40;969.90;1012.70;1011.50;-;-;-;-;-;-;-;-
STK;202312092220;-;-;-;-;-;-;238.00;34.90;49.00;959.90;-;1006.60;-;-;-;-;-;-;-;-
SAE;202312092220;-3.90;1.00;0.00;0.00;100.00;-3.90;308.00;24.50;61.60;740.90;-;1005.00;-;2940.70;-;-;-;-;-;-
THU;202312092220;6.90;0.00;0.00;0.00;91.00;5.50;343.00;27.00;61.60;944.80;1012.20;1011.40;-;-;-;-;-;-;-;-
TIT;202312092220;-4.60;-;0.00;0.00;100.00;-4.60;264.00;37.40;111.20;688.50;-;1007.90;-;2967.10;-;-;-;-;-;-
UEB;202312092220;-;-;0.00;3.00;-;-;-;-;-;-;-;-;-;-;253.00;55.80;65.90;4.50;83.90;2.00
ULR;202312092220;-0.50;0.80;0.00;0.00;96.20;-1.00;271.00;4.30;10.80;858.30;-;1009.60;1425.00;-;-;-;-;-;-;-
VAD;202312092220;8.20;0.50;0.00;0.00;75.70;4.20;91.00;9.40;20.20;956.50;1010.80;1010.30;-;-;-;-;-;-;-;-
VAB;202312092220;-0.20;0.00;0.00;0.00;99.20;-0.30;173.00;15.50;26.60;833.30;-;1007.30;1410.00;-;-;-;-;-;-;-
VLS;202312092220;0.20;0.10;0.00;1.00;99.30;0.10;146.00;2.50;6.80;-;-;-;-;-;-;-;-;-;-;-
VEV;202312092220;9.90;0.40;0.00;3.00;84.90;7.50;246.00;23.00;45.00;-;-;-;-;-;-;-;-;-;-;-
VIO;202312092220;-0.20;0.00;0.00;4.00;99.20;-0.30;149.00;1.40;2.50;887.00;-;1011.00;1429.70;-;-;-;-;-;-;-
VIT;202312092220;5.00;0.70;-;-;99.20;4.90;269.00;29.20;55.10;-;-;-;-;-;-;-;-;-;-;-
VIS;202312092220;0.30;0.70;0.00;1.00;98.50;0.10;290.00;2.90;5.80;937.00;-;1011.60;1415.30;-;-;-;-;-;-;-
WFJ;202312092220;-3.60;0.10;0.00;0.00;100.00;-3.60;228.00;21.20;39.20;725.40;-;1006.40;-;2954.80;-;-;-;-;-;-
WYN;202312092220;7.70;0.10;0.00;1.00;88.00;5.80;228.00;17.30;30.20;959.80;1010.10;1009.50;-;-;-;-;-;-;-;-
WAE;202312092220;7.70;0.00;0.00;1.00;80.20;4.50;229.00;33.10;50.00;952.00;1009.50;1008.90;-;-;-;-;-;-;-;-
PSI;202312092220;8.30;0.00;0.00;0.00;88.70;6.50;-;-;-;968.50;1008.50;1008.00;-;-;210.00;9.40;25.60;-;-;-
ZER;202312092220;-0.30;0.00;0.00;2.00;91.80;-1.50;222.00;7.60;12.60;827.00;-;1008.40;1419.50;-;-;-;-;-;-;-
REH;202312092220;8.10;0.00;0.00;1.00;81.60;5.10;246.00;14.80;22.70;956.00;1008.60;1008.10;-;-;-;-;-;-;-;-
SMA;202312092220;7.20;0.10;0.00;0.00;82.60;4.40;244.00;18.00;32.40;943.40;1009.00;1008.30;-;-;-;-;-;6.10;85.40;3.80
KLO;202312092220;8.40;0.00;0.00;1.00;82.80;5.60;239.00;19.10;32.00;957.90;1008.50;1008.00;-;-;-;-;-;-;-;-
PFA;202312092220;7.50;0.00;0.00;1.00;87.30;5.50;221.00;10.40;22.00;945.90;1009.30;1008.60;-;-;-;-;-;-;-;-
